"商品编码"	,"商品名称"	,"年份"	,"第一计量单位编码"	,"第一计量单位名称"	,"第二计量单位编码"	,"第二计量单位名称"	,
01012100	,"改良种用马"	,2022	,09	,"千克"	,01	,"头"	,
01012900	,"其他马，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01013010	,"改良种用驴"	,2022	,09	,"千克"	,01	,"头"	,
01013090	,"其他驴，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01019000	,"骡"	,2022	,09	,"千克"	,01	,"头"	,
01022100	,"改良种用家牛"	,2022	,09	,"千克"	,01	,"头"	,
01022900	,"其他家牛，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01023100	,"改良种用水牛"	,2022	,09	,"千克"	,01	,"头"	,
01023900	,"其他水牛，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01029010	,"改良种用其他牛"	,2022	,09	,"千克"	,01	,"头"	,
01029090	,"其他牛，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01031000	,"改良种用猪"	,2022	,09	,"千克"	,01	,"头"	,
01039110	,"其他猪，重量＜10kg，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01039120	,"其他猪，10kg≤重量＜50kg，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01039200	,"其他猪，重量≥50kg，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01041010	,"改良种用绵羊"	,2022	,09	,"千克"	,01	,"头"	,
01041090	,"其他绵羊，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01042010	,"改良种用山羊"	,2022	,09	,"千克"	,01	,"头"	,
01042090	,"其他山羊，改良种用除外"	,2022	,09	,"千克"	,01	,"头"	,
01051110	,"改良种用鸡，改良种用除外，重量≤185g"	,2022	,09	,"千克"	,01	,"只"	,
01051190	,"其他鸡，改良种用除外，重量≤185g"	,2022	,09	,"千克"	,01	,"只"	,
01051210	,"改良种用火鸡，重量≤185g"	,2022	,09	,"千克"	,01	,"只"	,
01051290	,"其他火鸡，改良种用除外，重量≤185g"	,2022	,09	,"千克"	,01	,"只"	,
01051310	,"改良种用鸭,重量≤185克"	,2022	,09	,"千克"	,01	,"只"	,
01051390	,"其他鸭,改良种用除外,重量≤185克"	,2022	,09	,"千克"	,01	,"只"	,
